x,y,z,speed
44.3063580,-78.3453230,227.4,0
44.3065450,-78.3452820,227.9,3.0
44.3067310,-78.3452270,228.3,3.03
44.3069100,-78.3450850,228.8,2.43
44.3070950,-78.3449780,229.4,3.65
44.3072740,-78.3449030,230.1,3.45
44.3074660,-78.3448620,230.9,2.7
44.3076670,-78.3448310,231.8,2.81
44.3078680,-78.3448270,232.6,3.19
44.3080490,-78.3447910,233.4,2.91
44.3082310,-78.3447370,234.3,2.31
44.3084150,-78.3447060,235.2,2.3
44.3086260,-78.3447110,236.3,3.33
44.3088250,-78.3446940,237.2,2.77
44.3090180,-78.3446850,238.0,3.06
44.3092070,-78.3446960,239.1,2.96
44.3093910,-78.3447050,240.1,2.94
44.3095910,-78.3447560,241.6,2.83
44.3097010,-78.3447810,242.4,2.07
44.3096950,-78.3447800,242.5,0.47
44.3098630,-78.3448270,244.2,1.27
44.3099310,-78.3448290,244.4,3.8
44.3099930,-78.3445890,241.9,3.09
44.3100060,-78.3445580,241.7,2.8
44.3101250,-78.3443310,239.8,3.83
44.3102380,-78.3443390,240.0,2.56
44.3104410,-78.3443510,241.8,2.82
44.3106220,-78.3443460,242.0,2.86
44.3107260,-78.3443460,242.9,2.0
44.3109320,-78.3443110,242.8,3.83
44.3111140,-78.3443070,243.8,3.38
44.3113010,-78.3442960,244.9,2.97
44.3114980,-78.3442740,245.8,2.74
44.3116870,-78.3441880,245.5,3.17
44.3118610,-78.3440760,245.0,2.66
44.3120400,-78.3439520,244.3,3.19
44.3122300,-78.3438380,244.2,3.27
44.3124140,-78.3437160,243.4,3.27
44.3125780,-78.3435340,241.6,3.31
44.3127510,-78.3434090,238.0,3.2
44.3128420,-78.3434270,235.8,2.55
44.3129890,-78.3433360,233.3,2.02
44.3131450,-78.3431670,229.1,2.46
44.3132680,-78.3429800,225.6,2.9
44.3133610,-78.3428480,223.2,2.94
44.3134340,-78.3426080,220.0,2.99
44.3134950,-78.3423410,217.8,3.19
44.3135550,-78.3421030,216.3,3.37
44.3136290,-78.3418710,215.2,3.4
44.3136780,-78.3418160,215.0,2.2
44.3137640,-78.3418220,215.0,1.5
44.3139520,-78.3418900,215.0,2.42
44.3139900,-78.3418920,215.0,2.2
44.3140270,-78.3418630,215.0,1.12
44.3140520,-78.3418960,215.0,0.68
44.3140630,-78.3418830,215.0,1.8
44.3140430,-78.3418550,215.1,1.6
44.3140270,-78.3418350,215.1,1.2
44.3140570,-78.3418630,215.1,0.88
44.3141500,-78.3420890,215.1,2.12
44.3141120,-78.3419280,215.2,2.8
44.3140440,-78.3418000,215.2,2.58
44.3140670,-78.3418850,215.2,1.85
44.3141510,-78.3421020,215.3,2.21
44.3140980,-78.3419310,215.3,2.57
44.3140210,-78.3417970,215.3,2.76
44.3140180,-78.3418140,215.3,0.89
44.3140230,-78.3418270,215.3,1.1
44.3141000,-78.3420400,215.3,1.72
44.3141470,-78.3420990,215.4,1.9
44.3141200,-78.3419720,215.4,2.72
44.3140200,-78.3417870,215.4,2.66
44.3140240,-78.3418260,215.4,0.88
44.3140980,-78.3420810,215.4,2.43
44.3141270,-78.3421160,215.4,2.2
44.3141070,-78.3419420,215.5,3.08
44.3140400,-78.3418120,215.5,3.2
44.3140770,-78.3419730,215.5,2.28
44.3141250,-78.3420910,215.5,2.73
44.3140890,-78.3418860,215.5,2.81
44.3140300,-78.3417920,215.6,2.02
44.3140560,-78.3419210,215.6,1.61
44.3141470,-78.3419850,215.6,2.65
44.3140530,-78.3418190,215.6,2.82
44.3140320,-78.3417970,215.6,1.35
44.3141260,-78.3420310,215.7,2.7
44.3141510,-78.3420050,215.7,1.79
44.3140470,-78.3417790,215.7,3.09
44.3140350,-78.3417630,215.7,1.7
44.3140870,-78.3420350,215.7,3.95
44.3141380,-78.3422380,215.7,5.7
44.3142140,-78.3423300,215.9,3.53
44.3141900,-78.3421880,215.9,2.3
44.3141900,-78.3421590,215.9,2.3
44.3141320,-78.3419390,215.8,3.17
44.3140420,-78.3417690,215.7,2.44
44.3141280,-78.3420680,215.6,5.14
44.3142000,-78.3423040,215.5,4.1
44.3142000,-78.3423220,215.5,1.3
44.3141680,-78.3422560,215.5,1.88
44.3140760,-78.3420280,215.4,2.99
44.3140270,-78.3418830,214.8,2.13
44.3139940,-78.3417880,214.5,1.26
44.3139900,-78.3418650,214.2,1.0
44.3140020,-78.3418350,214.1,1.1
44.3139870,-78.3418990,213.9,1.01
44.3140350,-78.3419370,213.6,0.47
44.3139860,-78.3418610,213.3,0.21
44.3140250,-78.3418440,213.1,0.69
44.3140080,-78.3417930,212.9,0.57
